#
# This list of campsites was scraped from nationalpark.nsw.gov.au using scrapers/scrape_nationalpark_nsw_gov_au.rb
# Then it was reconciled with the campsite names in Campsites.plist. Campsites that contained location info here and 
# in the original data set were not included. The following campsites are a mix of new campsites and campsites that are
# already in Campsites.plist but did not contain location data
#
longName,latitude,longitude
Abercrombie Caves campground,-33.9169027799998,149.358523553334
Appletree Flat campervan and camper trailer area,-33.8008274830659,150.618669002252
Apsley Falls campground,-31.0540415000018,151.762134053333
Balor Hut campground,-31.327071666666,148.995784999949
Bark Hut campground,-30.2901866666667,150.143200000001
Beach campground,-35.6909896666666,150.130343
Belah campground,-33.7123603466667,143.17720658
Ben Halls camping ground,-33.9065083333333,147.950425
Benarca campground,-36.0704260474908,144.619224241998
Big River Camp,-32.2375453066664,150.05597492
Black Rocks campground,-29.2510837133332,153.366306113334
Black Swamp campground,-32.0429073933336,151.46677368
Boundary Falls,-29.5354200000029,152.24952
Brambles Green campground,-32.5657619133333,152.28187646
Broughton Island campground,-32.6172849199999,152.316116220001
Budds Mare campground,-30.9836535933333,151.970635113333
Burbie Camp,-31.2993314066666,148.960260086667
Camp Blackman,-31.2772155533333,148.996723886667
Camp Pincham,-31.2977765866666,148.996173946667
Camp Walaay,-31.2752395799999,148.996456833334
Cawndilla campground,-32.434915586667,142.251728973334
Coach and Horses campground,-31.4557936600012,143.827580340013
Cod Hole campground and picnic area,-30.133289133336,152.704280280001
Coorongooba camping ground,-33.1245106466662,150.323932786659
Coree campground,-35.2971311599999,148.807588693334
Coxs Creek camping ground,-31.7325018333333,150.011104446667
Crowdy Gap campground,-31.8335261133332,152.729846053334
Culgoa,-29.1729884866664,147.000296853334
Cypress-pine camping area,-28.8423147200037,152.15128278
Dalmorton Camping Area,-29.8646632266695,152.448368540001
Darling River camping grounds,-32.3976094466671,142.375044446667
Dead Horse Gully campground,-29.4173872200031,142.000893333334
Delicate campground,-31.2601113016736,152.968181127819
Doon Goonge Camping Area,-29.908651713336,152.510029486667
Edward River Bridge campground,-35.8118661837967,144.960721106961
Emu Lake camping ground,-32.4703089333339,142.34655168
Flea Creek campground,-35.3387241933333,148.754287926667
Forest Tops campground,-28.3875234266665,153.063873026667
Fort Grey campground,-29.0883377800034,141.213329446667
Geehi Flats rest area,-36.3797156999999,148.178818740001
Gentlemans Halt camping ground,-33.4658525533332,151.153046166667
Gillards campground,-36.660003075182,150.000530293548
Glendora campground,-33.0272296066665,149.409651753334
Greenbah camping ground,-32.7714557799999,148.352861046668
Gum Hole campground and picnic area,-30.5624394133331,150.931727306667
Halls Peak campground,-30.7401290866666,152.01061866
Heartbreak Hill camping area,-33.2709845533332,150.897112779999
Illaroo group camping area,-29.7552155526001,153.291104940596
Jacky Barkers campground,-31.5923390333332,151.724603866667
Kings Plains Creek camping area,-29.5840102733331,151.389535626667
Koreelah Creek camping area,-28.3083237466664,152.465974586667
Kylies Hut walk-in campground,-31.7320094999999,152.792050386667
Lake Eckersley campground,-34.0959868166035,150.976244709829
Lemon Tree Flat campground,-29.1477466133368,150.991899279999
Long Gully campground,-35.3163951666667,150.1816265
Lowells Flat campground,-35.2798157133331,148.740920060001
Main campground,-33.7369441599996,143.015438006668
Mamanga campground,-34.6645410309742,143.514445000984
Mann River picnic and camping area,-29.6879616666695,152.099355
Marramarra Creek camping ground,-33.5221833333331,151.086839780001
McIntyres campground,-35.2638576866665,148.73717296
Meroo Head campground,-35.4759409500346,150.390327924204
Mirang Pool campground,-34.0900607737542,150.988759491468
Mount Werong campground,-34.0799083866665,149.927051053333
Mount Wood campground,-29.4803675066698,142.236944560001
Mulloon Creek campground,-35.4382728449338,149.570228089812
Mulwala campground,-35.9666036591572,145.944500805654
Native Dog campground,-30.3875337600024,152.268151033334
New Country Swamp campground,-31.3293550000016,151.86906128
North Head campground,-35.7187618995355,150.274888024759
Ogma Gap campground,-31.3195372199999,148.975299446667
Olive Downs campground,-29.0590052200035,141.863163886667
Private Town campground,-34.1157932289999,150.210499459
Quicks Beach campground,-35.9269405842301,145.699987
Racecourse campground,-31.2494238281676,152.960447200318
Red Gum campground,-35.668828,150.1517185
Riverside campground,-30.9713922400016,152.010151546667
Samual Bollard campground,-35.8992380133333,147.328728926667
Sculptures in the Scrub picnic area and campground,-30.9973583333333,149.234563333334
Silent Creek camping ground,-34.15795772,149.67846078
Spring Gully Camp,-32.2439368866666,150.0476675
Sunburnt Beach campground,-35.4575421666666,150.397389666667
Terarra Creek,-33.4197878866665,148.498299786667
Termeil Point campground,-35.4596494610548,150.394265439283
The Barracks camping ground,-31.7311582799998,150.016164446667
The Beach,-34.1292185533332,149.634718553334
The Diggings campground,-33.1847833333331,149.953588266667
The Village campground,-33.0340762266666,149.413430786667
The Willows,-34.7610511990105,143.760431199011
Tin Mines campground,-35.85970676,147.477404540001
Trial Bay Gaol camping ground,-30.8779949999999,153.068771666667
Wanda Wandong camping ground,-32.6374702266667,148.381473360001
Warrabah camping ground,-30.5680702800022,150.916603699998
Wells campground,-32.5255291333333,152.32281246
Willandra campground,-33.1940544466666,145.118274446667
Willoughby's Beach campground,-35.5278372776846,144.978373511649
Wog Wog campground,-35.2682428333331,150.035568446667
Woko camping area,-31.8009795599999,151.793573980001
Wollomombi campground,-30.5315297000023,152.027397466667
Wombat Creek campground,-32.05225734,151.471280313333
Wooloondool,-34.5110967087566,144.767673647382
Woperana campground,-35.8109545949299,145.483023437489
Yanda campground,-30.3222916666665,145.576026666667
