Name,Latitude,Longitude
Pebbly Beach campground,-29.9413221933361,153.257975386667
Thungutti campground,-30.500467886669,152.387607860001
Putty Beach campground,-33.527622333333,151.371657246667
Red Gum campground,-35.668828,150.1517185
Wombat Creek campground,-32.05225734,151.471280313333
Kingfisher Pool campground,-34.1264560167386,150.977993337784
Big River campground,-32.2375453066664,150.05597492
Dunns swamp - Ganguddy campground,-32.8349683333333,150.206348446667
Benarca campground,-36.0704260474908,144.619224241998
Indian Head campground,-31.7303490066665,152.794418813334
Illaroo campground,-29.7591996066695,153.292267133334
Beach campground,-35.6909896666666,150.130343
Culgoa River campground,-29.1729884866664,147.000296853334
Iron Pot Creek campground,-28.5215876199998,152.747824740001
Main campground,-33.7369441599996,143.015438006668
Chaelundi campground,-30.0687053400026,152.335069386667
Boundary Falls campground,-29.5354200000029,152.24952
Fort Grey campground,-29.0883377800034,141.213329446667
Wollomombi campground,-30.5315297000023,152.027397466667
Kylies Hut walk-in campground,-31.7320094999999,152.792050386667
Youngville campground,-32.199402946667,151.309728386667
Budds Mare campground,-30.9836535933333,151.970635113333
Waratah Gully campground,-37.0025274199998,149.384544666667
Boomeri campground,-32.50915548,152.31953018
Darling River campground,-32.3976094466671,142.375044446667
Brambles Green campground,-32.5657619133333,152.28187646
Mackaway Bay campground,-32.4660693199997,152.282181560001
Uloola Falls campground,-34.1085188504001,151.038147836524
Riverside campground,-30.9713922400016,152.010151546667
Stewart and Lloyds campground,-32.6081838866666,152.232471306667
Wooloondool,-34.5110967087566,144.767673647382
Camp Pincham,-31.2977765866666,148.996173946667
Berlang campground,-35.7248306066665,149.646152186667
Aragunnu campground,-36.5850791999998,150.046305846668
Horse Swamp campground,-31.9268433666666,151.386780486667
The Pines campground,-35.4477625333332,148.284437573334
Wheeny Creek campground,-33.4563132791801,150.722370445305
Coxs Creek campground,-31.7325018333333,150.011104446667
Camp Blackman,-31.2772155533333,148.996723886667
Native Dog campground,-30.3875337600024,152.268151033334
Wells campground,-32.5255291333333,152.32281246
The Village campground,-33.0340762266666,149.413430786667
Neranie campground,-32.4086557399999,152.452479386667
Termeil Point campground,-35.4596494610548,150.394265439283
Kylies Beach campground,-31.7353031133332,152.791641780001
Diamond Head campground,-31.7182114466665,152.794050833334
Plateau Beech campground,-31.1804829,152.326571886667
Terarra Creek camping and picnic area,-33.4197878866665,148.498299786667
Homestead Creek campground,-31.2822688866682,142.295430553333
Congo campground,-35.9544172199998,150.157370000001
Gummi Falls campground,-31.9022117666666,151.468437993334
Sheepstation Creek campground,-28.4136948533331,153.022825573334
Mamanga campground ,-34.6645410309742,143.514445000984
Marramarra Creek campground,-33.5221833333331,151.086839780001
Willandra campground,-33.1940544466666,145.118274446667
North Head campground,-35.7187618995355,150.274888024759
Lake Arragan and Red Cliff campgrounds,-29.5666286733364,153.33615236
Mill Creek campground,-33.4002487799997,151.046739846666
Mirang Pool campground,-34.0900607737542,150.988759491468
Abercrombie Caves campground,-33.9169027799998,149.358523553334
Trial Bay Gaol campground,-30.8779949999999,153.068771666667
Coorongooba campground,-33.1245106466662,150.323932786659
Ogma Gap campground,-31.3195372199999,148.975299446667
Yagon campground,-32.4532876599998,152.494741146667
Violet Hill campground,-32.4704103399999,152.326866986667
The Beach,-34.1292185533332,149.634718553334
Little Beach campground,-33.5105126666663,151.418046
Gap Creek campground,-33.0137414066665,151.430112953333
